lonbin,latbin,zbin,N,meandust,mean_overlap,fmid,area
168,56,7,3992,2001.4903858601,0.0132331322741599,8.43541025954497,308513.300022754
168,56,8,2231,1325.24479742164,0.00794555135864943,9.97319133479154,308513.300022754
70,63,1,7349,2586.57869301029,0.0511931459530877,0.46811743774549,242615.807744197
70,63,2,14240,2834.19084872396,0.0420558962352569,1.04003612200276,242615.807744197
21,56,8,1269,1021.94093135195,0,10.0043155485834,308513.300022754
-77,56,8,2235,1073.36133812817,0.00797093621563074,9.95534269369582,308513.300022754
35,77,1,15640,1522.57916688784,0.00734435313105026,0.518996211816588,79321.9804197979
-35,70,6,447,1485.79033978769,0.00278765129810191,6.68520065737731,172938.15604629
-35,70,7,199,1287.10286803116,0.00100306672663364,8.40410573313344,172938.15604629
-98,56,1,9324,1455.23550957906,0.0345388779803542,0.471500211144148,308513.300022754
-98,56,2,19345,1544.06609646941,0.0301084159011031,1.0443536845594,308513.300022754
-98,56,3,8101,1679.07620334312,0.0313962747038224,1.63027768093138,308513.300022754
-175,56,1,10938,1290.65486901591,0.0428965184011338,0.472361730151125,308513.300022754
-175,56,2,25890,1583.17368639789,0.030385218432793,1.04575462163024,308513.300022754
-175,56,3,9669,1693.92805251491,0.0216556369404657,1.63381332726656,308513.300022754
-175,56,4,27224,1934.32907831056,0.00781197573040356,2.66380892276456,308513.300022754
-175,56,5,17088,2194.92817947551,0.00670610488846196,4.62702800402838,308513.300022754
-175,56,6,11371,2317.22175301573,0.0179097672334906,6.5621735434052,308513.300022754
-175,56,7,6378,1999.17848236686,0.0139043686391873,8.34954220122669,308513.300022754
-175,56,8,3664,1356.65112623198,0.0082475956038466,9.94976403662003,308513.300022754
14,56,8,5548,1050.14046488928,0.00393772080625312,9.99238149727379,308513.300022754
-133,63,1,1387,1697.99266728051,0.0273972602739726,0.472780905783391,242615.807744197
-133,63,2,2794,1977.55387202925,0.0220447712028918,1.04051189020658,242615.807744197
-133,63,5,1923,2334.62519093434,0.00445786759941199,4.66483983578337,242615.807744197
-133,63,6,1249,2309.31835779084,0.00304228844545471,6.60771932301701,242615.807744197
-133,63,7,597,2114.57695085731,0.0106486375615277,8.32567652185079,242615.807744197
-133,63,8,320,1704.99677158877,0.00623807368590759,9.94910467224121,242615.807744197
98,70,1,1791,1933.74333062066,0.0134003350083752,0.488690610405322,172938.15604629
98,70,2,3898,2480.08308955833,0.00890420969130498,1.05474505233569,172938.15604629
98,70,3,1712,2865.08914359417,0.00666114726248912,1.63784436486146,172938.15604629
98,70,4,4496,2635.92944070151,0.00346134574985623,2.69998580086868,172938.15604629
98,70,6,1685,2021.95682596698,0,6.54268336446066,172938.15604629
98,70,7,909,1649.82359160571,0,8.3219292873135,172938.15604629
98,70,8,666,1331.93041472224,0,9.89314840744064,172938.15604629
168,56,6,6835,2210.34779089779,0.013811861618155,6.61088971292849,308513.300022754
98,70,5,2680,2268.79809886848,0.000629519872133003,4.6465620756007,172938.15604629
